geometry,event_uniq,crime_type,objectid,district,occurren_4,crimestopp,divisional,datecon
POINT (-79.44823095 43.719112559),GO-2016857120,Auto Theft,46,d32,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.44823095 43.719112559),GO-2016857120,Auto Theft,47,d32,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.389496277 43.742910322),GO-2016880410,Auto Theft,48,d32,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.427438029 43.787244042),GO-2016874136,Auto Theft,49,d32,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.360157584 43.744444071),GO-2016873618,Auto Theft,50,d33,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.342346471 43.762098846),GO-2016867617,Auto Theft,51,d33,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.263983326 43.702099203),GO-2016880760,Auto Theft,52,d41,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.248404239 43.708287448),GO-2016871649,Auto Theft,53,d41,7,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.232472539 43.790556783),GO-2016875497,Auto Theft,54,d42,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.237058519 43.789554466),GO-2016853447,Auto Theft,55,d42,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.28891121 43.803126598),GO-2016873113,Auto Theft,56,d42,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.373777908 43.667295336),GO-2016873933,Auto Theft,57,d51,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.391137096 43.649897752),GO-2016882620,Auto Theft,58,d52,8,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.384602229 43.654054893),GO-2016842612,Auto Theft,59,d52,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.403073733 43.67863295),GO-2016875674,Auto Theft,60,d53,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
POINT (-79.388352303 43.687334723),GO-2016886820,Auto Theft,61,d53,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
POINT (-79.352242449 43.664574882),GO-2016868655,Auto Theft,62,d55,8,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d55/,
POINT (-79.300585782 43.685276897),GO-2016870974,Auto Theft,63,d55,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d55/,
