geometry,event_uniq,occurrence,district,divisional,near_x,x_coordina,orig_fid,crimestopp,y_coordina,near_y,near_dist,event_un_1,y,x,near_fid,objectid
POINT (-79.5725518179 43.6530275354),GO-2016193115,2016-02-02T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.572551818,615249,61,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834421,43.6530275352,0.00195705418616,193115,43.6539,-79.5708,16327,62
POINT (-79.4406725927 43.7278285647),GO-2016193392,2016-02-02T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4406725927,625592,62,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842940,43.7278285651,0.00107389128157,193392,43.7289,-79.4406,14581,63
POINT (-79.2107157198 43.8081997556),GO-2016208868,2016-02-04T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.2107157198,643937,63,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4852116,43.8081997558,0.000237668373526,208868,43.8081,-79.2105,11172,64
POINT (-79.5156848889 43.7491476557),GO-2016233840,2016-02-08T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5156848888,619450,64,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4845101,43.7491476559,0.00073115849351,233840,43.7493,-79.5164,13352,65
POINT (-79.2849143652 43.7676111555),GO-2016254768,2016-02-12T00:00:00.000Z,d41,http://www.torontopolice.on.ca/d41/,-79.284914365,638037,65,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4847465,43.7676111558,0.000227859868684,254768,43.7674,-79.285,9451,66
POINT (-79.3525202444 43.6590393027),GO-2016263737,2016-02-13T00:00:00.000Z,d55,http://www.torontopolice.on.ca/d55/,-79.3525202447,632829,66,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4835309,43.6590393029,0.000227414338257,263737,43.6589,-79.3527,5462,67
POINT (-79.2469801321 43.7537779925),GO-2016261011,2016-02-13T00:00:00.000Z,d43,http://www.torontopolice.on.ca/d43/,-79.246980132,641067,67,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4846059,43.7537779922,0.000788605700708,261011,43.7541,-79.2477,351,68
POINT (-79.3738362085 43.763843364),GO-2016266123,2016-02-14T00:00:00.000Z,d33,http://www.torontopolice.on.ca/d33/,-79.3738362082,630797,68,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4846795,43.7638433638,0.00177288557696,266123,43.7626,-79.3751,3997,69
POINT (-79.4701495257 43.7838398203),GO-2016275431,2016-02-15T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.470149526,623057,69,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4849089,43.7838398199,0.000938560294548,275431,43.7846,-79.4707,13977,70
POINT (-79.402800634 43.748564717),GO-2016276441,2016-02-15T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4028006337,628652,70,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4845197,43.7485647167,0.000701521525011,276441,43.7486,-79.4021,15666,71
POINT (-79.4197003315 43.6309198163),GO-2016271270,2016-02-15T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.4197003319,627397,71,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4832092,43.6309198159,0.00109984663926,271270,43.6309,-79.4208,21812,72
POINT (-79.3155816274 43.6945042538),GO-2016281725,2016-02-16T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3155816271,635715,72,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4839357,43.694504254,0.000434542311832,281725,43.6948,-79.3159,7553,73
POINT (-79.3272686375 43.7141626414),GO-2016279204,2016-02-16T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3272686371,634719,73,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841449,43.7141626412,0.00056354470958,279204,43.7138,-79.3277,6883,74
POINT (-79.5136257715 43.7637044781),GO-2016301421,2016-02-20T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5136257714,619678,74,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4846775,43.7637044782,0.000815494817881,301421,43.7644,-79.5132,13387,75
